issue_key,project,rule,severity,component,line,message,type,tags,effort
1efc6e59-2abc-4291-9b07-cb3ddcdd4e35,Wildlife-Tracker-replit-1,typescript:S7781,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/document-validation.ts,15,Prefer `String#replaceAll()` over `String#replace()`.,CODE_SMELL,readability;es2021,5min
d79e2246-01e7-4b95-acf0-9ecaf0a4810f,Wildlife-Tracker-replit-1,typescript:S7773,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/document-validation.ts,25,Prefer `Number.parseInt` over `parseInt`.,CODE_SMELL,convention;es2015,2min
9acc7f31-d4bb-4841-a8ce-f767657565f4,Wildlife-Tracker-replit-1,typescript:S7773,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/document-validation.ts,28,Prefer `Number.parseInt` over `parseInt`.,CODE_SMELL,convention;es2015,2min
9b5629a3-a3d9-4e33-9122-14797d3d40a0,Wildlife-Tracker-replit-1,typescript:S7773,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/document-validation.ts,33,Prefer `Number.parseInt` over `parseInt`.,CODE_SMELL,convention;es2015,2min
f0b29583-f4b2-4998-85a5-ed69f7eb055f,Wildlife-Tracker-replit-1,typescript:S7773,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/document-validation.ts,36,Prefer `Number.parseInt` over `parseInt`.,CODE_SMELL,convention;es2015,2min
00ba51d5-9f1b-42b4-b79c-604ffe631bb4,Wildlife-Tracker-replit-1,typescript:S7781,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/document-validation.ts,44,Prefer `String#replaceAll()` over `String#replace()`.,CODE_SMELL,readability;es2021,5min
2afcbf1d-4c3b-4a33-b359-f970547a5dde,Wildlife-Tracker-replit-1,typescript:S6535,MAJOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/document-validation.ts,44,Unnecessary escape character: \..,CODE_SMELL,,5min
c8baae9a-ef13-427b-9140-0913ce226178,Wildlife-Tracker-replit-1,typescript:S6535,MAJOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/document-validation.ts,44,Unnecessary escape character: \/.,CODE_SMELL,,5min
7d38d723-f0df-4e11-bcba-24712424ddae,Wildlife-Tracker-replit-1,typescript:S6535,MAJOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/document-validation.ts,53,Unnecessary escape character: \-.,CODE_SMELL,,5min
c8cbb68c-4cbf-4d3a-a848-e163b7ac655f,Wildlife-Tracker-replit-1,typescript:S7781,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/document-validation.ts,53,Prefer `String#replaceAll()` over `String#replace()`.,CODE_SMELL,readability;es2021,5min
a6c8293e-c47e-4841-9006-3148b0a76d88,Wildlife-Tracker-replit-1,typescript:S1128,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/notifications.ts,3,Remove this unused import of 'haversineDistance'.,CODE_SMELL,es2015;type-dependent;unused,1min
458f72b2-245c-4134-a326-87aeb0d0290e,Wildlife-Tracker-replit-1,typescript:S7748,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/seed.ts,38,Don't use a zero fraction in the number.,CODE_SMELL,consistency;formatting,1min
522d5824-db86-4ecb-9811-843f20e9e640,Wildlife-Tracker-replit-1,typescript:S7748,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/seed.ts,39,Don't use a zero fraction in the number.,CODE_SMELL,consistency;formatting,1min
761c0935-bac8-490a-8eea-4f55e900068a,Wildlife-Tracker-replit-1,typescript:S7748,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/lib/seed.ts,41,Don't use a zero fraction in the number.,CODE_SMELL,consistency;formatting,1min
c70b107d-7a26-4532-b0e4-d58e300d8a17,Wildlife-Tracker-replit-1,typescript:S4325,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/routes/auth.ts,106,This assertion is unnecessary since it does not change the type of the expression.,CODE_SMELL,type-dependent;redundant,1min
24269ee9-5ce2-4634-9890-638ce778cead,Wildlife-Tracker-replit-1,typescript:S4325,MINOR,Wildlife-Tracker-replit-1:artifacts/api-server/src/routes/emergencies.ts,38,This assertion is unnecessary since it does not change the type of the expression.,CODE_SMELL,type-dependent;redundant,1min
